epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3692.07,0.99872,0.83837,1.24351,0.78981,0.77269,0.81551,0.59592,1.14705,0.96391,1.48187,0.009076,0.009076,0.009076
44,3778.02,1.01517,0.83009,1.26422,0.78014,0.58737,0.64453,0.45167,1.31121,1.44948,1.61664,0.009054,0.009054,0.009054
45,3863.34,0.99901,0.83983,1.23879,0.84811,0.81158,0.8574,0.62858,1.06613,0.83662,1.40443,0.009032,0.009032,0.009032
46,3949.59,1.01256,0.85755,1.24648,0.87312,0.81123,0.87988,0.64201,1.06839,0.88116,1.41336,0.00901,0.00901,0.00901
47,4034.91,0.98405,0.7939,1.2351,0.87212,0.77671,0.87028,0.63905,1.07168,0.80259,1.41008,0.008988,0.008988,0.008988
48,4120.39,0.99728,0.81744,1.23865,0.82701,0.7882,0.84113,0.62009,1.10356,0.88033,1.46368,0.008966,0.008966,0.008966
49,4206.62,0.97316,0.79708,1.23687,0.79918,0.56186,0.62841,0.44628,1.26559,1.45354,1.59425,0.008944,0.008944,0.008944
50,4291.59,0.99822,0.79671,1.23488,0.88291,0.78608,0.8707,0.64444,1.06592,0.78511,1.40269,0.008922,0.008922,0.008922
51,4376.84,0.9837,0.7917,1.23647,0.89361,0.79245,0.88096,0.65447,1.04859,0.79233,1.40545,0.0089,0.0089,0.0089
52,4462.9,0.97686,0.7878,1.2257,0.84683,0.82491,0.88045,0.64266,1.11658,0.80205,1.43221,0.008878,0.008878,0.008878
53,4549.14,0.97156,0.78917,1.23115,0.76218,0.62958,0.70841,0.53006,1.18657,1.46414,1.51105,0.008856,0.008856,0.008856
54,4635.02,0.96162,0.79496,1.22238,0.82908,0.78445,0.8466,0.61673,1.12788,0.88733,1.46743,0.008834,0.008834,0.008834
55,4720.79,0.95461,0.76655,1.22857,0.78588,0.70063,0.75396,0.53281,1.26397,1.22176,1.58416,0.008812,0.008812,0.008812
56,4806.6,0.97025,0.75502,1.22203,0.83329,0.81056,0.85441,0.62184,1.11637,0.90254,1.45094,0.00879,0.00879,0.00879
57,4892.15,0.94828,0.74737,1.21038,0.77858,0.70162,0.75171,0.55714,1.21293,1.2305,1.53946,0.008768,0.008768,0.008768
58,4977.48,0.9428,0.71902,1.19758,0.89847,0.82177,0.88852,0.65347,1.06715,0.76002,1.4001,0.008746,0.008746,0.008746
59,5063.69,0.9273,0.75013,1.17947,0.8508,0.82507,0.88354,0.65134,1.0661,0.77951,1.41817,0.008724,0.008724,0.008724
60,5149.31,0.93356,0.73765,1.2094,0.78622,0.79735,0.8375,0.63518,1.08338,0.9099,1.43563,0.008702,0.008702,0.008702
61,5235.46,0.92701,0.73311,1.19843,0.74876,0.59833,0.6424,0.47415,1.28371,1.61073,1.60854,0.00868,0.00868,0.00868
62,5321.11,0.91874,0.70797,1.18527,0.84845,0.81796,0.87137,0.64576,1.06897,0.79189,1.39363,0.008658,0.008658,0.008658
63,5406.17,0.95053,0.74608,1.20521,0.8828,0.83729,0.90097,0.66113,1.04705,0.73344,1.39559,0.008636,0.008636,0.008636
64,5492.61,0.92372,0.71078,1.19582,0.85479,0.81469,0.87712,0.64075,1.095,0.80666,1.43272,0.008614,0.008614,0.008614
65,5578.26,0.92583,0.72298,1.19417,0.85916,0.85952,0.89854,0.66262,1.03543,0.7089,1.38511,0.008592,0.008592,0.008592
66,5664,0.943,0.71859,1.21851,0.83935,0.7882,0.85126,0.61141,1.16658,0.90067,1.49971,0.00857,0.00857,0.00857
67,5749.95,0.90348,0.6852,1.17803,0.8815,0.85528,0.91026,0.6678,1.05744,0.68002,1.39096,0.008548,0.008548,0.008548
68,5835.98,0.88088,0.67128,1.15885,0.85876,0.85513,0.89683,0.66692,1.0322,0.71908,1.37948,0.008526,0.008526,0.008526
69,5921.37,0.9132,0.70316,1.18046,0.81469,0.71799,0.77366,0.55983,1.18197,1.09261,1.53213,0.008504,0.008504,0.008504
70,6007.06,0.90678,0.67983,1.18179,0.82813,0.7701,0.81863,0.59596,1.15317,0.91546,1.48557,0.008482,0.008482,0.008482
71,6092.78,0.90169,0.68015,1.18059,0.8232,0.73123,0.78655,0.57991,1.14347,1.02437,1.47655,0.00846,0.00846,0.00846
